label,x,y
Grapes,382,474
Thermometer,503,396
Snowman,233,403
Dirt pit,315,617
Curtain,374,346
Bug net,528,451
Flower pot,484,557
Shovel,443,560
Pumpkin,453,642
Mouse,219,270
Sun,463,440
Eggplants,400,685
Scarecrow,461,383
Spider web,393,257
Sunflower,173,557
cup,343,815
tea set,343,815
headgear,91,910
gloves,235,831
key,360,950
Chest,260,753
Birdcage,305,240
Broom,300,509
Corn,564,499
Bucket,431,772
Five pointed star,246,519
Strawberries,171,626
Chilli peppers,474,497
Scarf,289,394
Tomatoes,543,652
Cart,324,433
Scythe,426,597
Arrow sign,221,358
Crescent moon,182,993
Blackboard,564,375
Watering can,492,601
Stool,395,538
Ladder,417,417
Straw,587,571
rice bag,354,575
watermelon,251,640
lantern,563,954
rabbit,619,452
rake,129,560
shears,580,740
hammer,320,687